Group Name,Species,Distance,Number,Size.class
Quadceratops,thomsons gazelle,63,4,1
Quadceratops,thomsons gazelle,57,1,1
Quadceratops,thomsons gazelle,63,5,1
Quadceratops,thomsons gazelle,225,11,1
Quadceratops,thomsons gazelle,225,2,1
Quadceratops,thomsons gazelle,180,2,1
Quadceratops,thomsons gazelle,270,3,1
Quadceratops,thomsons gazelle,83,1,1
Quadceratops,thomsons gazelle,250,1,1
Quadceratops,thomsons gazelle,73,1,1
Quadceratops,thomsons gazelle,55,22,1
Quadceratops,thomsons gazelle,55,1,1
Quadceratops,thomsons gazelle,45,4,1
Quadceratops,thomsons gazelle,110,1,1
Quadceratops,thomsons gazelle,100,1,1
Quadceratops,thomsons gazelle,110,1,1
Quadceratops,thomsons gazelle,55,7,1
Quadceratops,thomsons gazelle,50,1,1
Quadceratops,thomsons gazelle,65,1,1
Quadceratops,thomsons gazelle,59,2,1
Mega-my-fauna,thomsons gazelle,230,5,1
Mega-my-fauna,thomsons gazelle,230,5,1
Mega-my-fauna,thomsons gazelle,465,2,1
Mega-my-fauna,thomsons gazelle,320,3,1
Mega-my-fauna,thomsons gazelle,490,6,1
Mega-my-fauna,thomsons gazelle,495,1,1
Mega-my-fauna,thomsons gazelle,480,2,1
Mega-my-fauna,thomsons gazelle,370,4,1
Mega-my-fauna,thomsons gazelle,505,9,1
Mega-my-fauna,thomsons gazelle,400,4,1
Willy's Wonkas,thomsons gazelle,70,3,1
Willy's Wonkas,thomsons gazelle,110,4,1
Willy's Wonkas,thomsons gazelle,250,7,1
Willy's Wonkas,thomsons gazelle,800,12,1
Willy's Wonkas,thomsons gazelle,300,4,1
Willy's Wonkas,thomsons gazelle,180,12,1
Willy's Wonkas,thomsons gazelle,220,11,1
Willy's Wonkas,thomsons gazelle,260,8,1
Willy's Wonkas,thomsons gazelle,350,14,1
Willy's Wonkas,thomsons gazelle,210,12,1
Willy's Wonkas,thomsons gazelle,270,5,1
Willy's Wonkas,thomsons gazelle,220,17,1
Willy's Wonkas,thomsons gazelle,300,5,1
the lionel king ,thomsons gazelle,160,1,1
the lionel king ,thomsons gazelle,200,1,1
the lionel king ,thomsons gazelle,350,1,1
the lionel king ,thomsons gazelle,120,5,1
the lionel king ,thomsons gazelle,150,1,1
the lionel king ,thomsons gazelle,190,2,1
the lionel king ,thomsons gazelle,180,1,1
the lionel king ,thomsons gazelle,300,1,1
